boneId,parentBoneId,m00,m01,m02,m03,m10,m11,m12,m13,m20,m21,m22,m23,m30,m31,m32,m33
0,-1,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,-0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1,0,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,-0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000
2,0,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,46.361080,-0.000000,0.000000,1.000000,0.000024,0.000000,0.000000,0.000000,1.000000
3,2,1.000000,-0.000004,-0.000873,0.000000,0.000000,0.999991,-0.004304,0.000000,0.000873,0.004304,0.999990,0.000000,0.000000,0.000000,0.000000,1.000000
4,3,0.410491,0.857208,-0.310951,8.400000,-0.885944,0.294190,-0.358546,24.500000,-0.215870,0.422666,0.880201,0.000000,0.000000,0.000000,0.000000,1.000000
5,4,0.906059,-0.000000,-0.423151,16.799999,0.000000,1.000000,-0.000000,0.000000,0.423151,0.000000,0.906059,0.000000,0.000000,0.000000,0.000000,1.000000
6,5,1.000000,0.000000,0.000000,16.799999,0.000000,1.000000,0.000000,0.000000,-0.000000,0.000000,1.000000,0.000021,0.000000,0.000000,0.000000,1.000000
7,4,0.976167,-0.000000,-0.217021,16.799999,0.000000,1.000000,-0.000000,0.000000,0.217021,0.000000,0.976167,0.000000,0.000000,0.000000,0.000000,1.000000
8,4,1.000000,0.000000,-0.000000,0.000000,0.000000,0.964133,0.265419,0.000000,0.000000,-0.265419,0.964133,0.000002,0.000000,0.000000,0.000000,1.000000
9,3,0.411092,-0.852719,0.322295,-8.400000,0.895270,0.311047,-0.318970,24.500000,0.171742,0.419667,0.891282,0.000000,0.000000,0.000000,0.000000,1.000000
10,9,0.899954,0.000000,0.435984,-16.799999,0.000000,1.000000,0.000000,0.000000,-0.435984,0.000000,0.899954,0.000000,0.000000,0.000000,0.000000,1.000000
11,10,1.000000,0.000000,0.000000,-16.799999,0.000000,1.000000,0.000000,0.000000,-0.000000,0.000000,1.000000,0.000002,0.000000,0.000000,0.000000,1.000000
12,9,0.974799,0.000000,0.223086,-16.799999,0.000000,1.000000,0.000000,0.000000,-0.223086,0.000000,0.974799,0.000000,0.000000,0.000000,0.000000,1.000000
13,9,1.000000,-0.000000,0.000001,0.000000,0.000000,0.965339,0.260998,0.000000,-0.000001,-0.260998,0.965339,0.000000,0.000000,0.000000,0.000000,1.000000
14,3,0.999991,0.004207,0.000040,0.000000,-0.004207,0.999945,0.009567,28.700001,-0.000000,-0.009567,0.999954,0.000000,0.000000,0.000000,0.000000,1.000000
15,2,1.000000,-0.000001,-0.000436,0.000000,0.000000,0.999998,-0.001841,0.000000,0.000436,0.001841,0.999998,0.000000,0.000000,0.000000,0.000000,1.000000
16,2,0.999964,-0.000000,-0.008472,0.000000,0.000000,1.000000,-0.000000,0.000000,0.008472,0.000000,0.999964,0.000000,0.000000,0.000000,0.000000,1.000000
17,16,0.999964,-0.001047,0.008409,5.600000,0.000007,0.992441,0.122721,-9.800000,-0.008474,-0.122717,0.992406,0.000000,0.000000,0.000000,0.000000,1.000000
18,17,1.000000,0.000000,0.000000,0.000000,0.000000,0.969095,-0.246689,-15.400000,-0.000000,0.246689,0.969095,0.000000,0.000000,0.000000,0.000000,1.000000
19,18,1.000000,0.000007,-0.000004,0.000000,-0.000006,0.992078,0.125620,-15.400000,0.000004,-0.125620,0.992078,0.000000,0.000000,0.000000,0.000000,1.000000
20,17,1.000000,-0.000002,0.000000,0.000000,0.000002,0.994999,-0.099889,-15.400000,-0.000000,0.099889,0.994999,0.000000,0.000000,0.000000,0.000000,1.000000
21,16,0.999964,-0.001060,0.008405,-5.600000,-0.000007,0.992043,0.125896,-9.800000,-0.008471,-0.125891,0.992008,0.000000,0.000000,0.000000,0.000000,1.000000
22,21,1.000000,0.000000,0.000000,0.000000,0.000000,0.969145,-0.246491,-15.400000,-0.000000,0.246491,0.969145,0.000000,0.000000,0.000000,0.000000,1.000000
23,22,1.000000,-0.000007,0.000003,0.000000,0.000006,0.992501,0.122233,-15.400000,-0.000004,-0.122233,0.992501,0.000000,0.000000,0.000000,0.000000,1.000000
24,21,1.000000,-0.000003,0.000000,0.000000,0.000003,0.994990,-0.099971,-15.400000,-0.000000,0.099971,0.994990,0.000000,0.000000,0.000000,0.000000,1.000000
